iter	Logloss
0	0.6324784546
1	0.5790934448
2	0.5397255859
3	0.5056507568
4	0.4779399109
5	0.4592216797
6	0.4455194092
7	0.4288255005
8	0.4168455811
9	0.4085140991
10	0.4008034058
11	0.3954898682
12	0.3910090332
13	0.3863303223
14	0.3805201721
15	0.3768165588
16	0.3736323242
17	0.3704326782
18	0.3679949951
19	0.3657982178
20	0.3636990967
21	0.3616544495
22	0.3598693848
23	0.3581985779
24	0.3571432495
25	0.3556029053
26	0.3543646851
27	0.3530462952
28	0.3519614868
29	0.3510856323
30	0.3498867798
31	0.3490205688
32	0.3478151855
33	0.3467862244
34	0.3459287109
35	0.3448847961
36	0.3441207886
37	0.3431966248
38	0.3424198303
39	0.3415233765
40	0.3408233643
41	0.3398808289
42	0.3389622192
43	0.3382450867
44	0.3373940735
45	0.3367162476
46	0.3360214233
47	0.335265686
48	0.3345418701
49	0.3338492737
50	0.3330866699
51	0.3322991943
52	0.3317785339
53	0.3311095581
54	0.3303812256
55	0.3298879395
56	0.3290497437
57	0.3281655273
58	0.3276486206
59	0.3265982056
60	0.3259777832
61	0.3253173218
62	0.3247381897
63	0.3238554687
64	0.3234075317
65	0.3224622803
66	0.3217633057
67	0.3210849915
68	0.3204328613
69	0.3195901184
70	0.3189579468
71	0.3181208191
72	0.3174151001
73	0.3168122864
74	0.3158684998
75	0.3150375671
76	0.314611084
77	0.3138402405
78	0.3131748962
79	0.3123346863
80	0.3118170166
81	0.3112022705
82	0.310236969
83	0.3096828308
84	0.3091413269
85	0.3086806335
86	0.3078481445
87	0.3073787537
88	0.3067990723
89	0.3055601196
90	0.3045307617
91	0.3036184082
92	0.302789856
93	0.3020359802
94	0.3013261108
95	0.3005874634
96	0.30005896
97	0.2995397644
98	0.2990689697
99	0.2983190308
100	0.2977948914
101	0.2971280212
102	0.2965212402
103	0.2955006409
104	0.2946477966
105	0.2940681458
106	0.2937392578
107	0.2931227417
108	0.2924082947
109	0.2912549438
110	0.2906374512
111	0.2899259033
112	0.2893536072
113	0.2882910156
114	0.2875567627
115	0.2869782715
116	0.286386261
117	0.2855696411
118	0.284720459
119	0.2837368469
120	0.2830785217
121	0.2824412537
122	0.2815678711
123	0.2808962708
124	0.2802067566
125	0.2793874512
126	0.278453125
127	0.277536377
128	0.2767375183
129	0.2759796143
130	0.2748679199
131	0.2746789856
132	0.2742799072
133	0.273795105
134	0.273406189
135	0.2730729065
136	0.2726520996
137	0.2720321045
138	0.271641571
139	0.2709398804
140	0.2707340393
141	0.2704455566
142	0.2695099487
143	0.2688735352
144	0.2681390076
145	0.2673954773
146	0.2664669189
147	0.2656259155
148	0.2651856995
149	0.2645422363
150	0.2638208923
151	0.2633439941
152	0.2627640381
153	0.2619842224
154	0.2614827576
155	0.2610375366
156	0.260145874
157	0.2596549988
158	0.2590820618
159	0.2584391174
160	0.2577005005
161	0.2571033936
162	0.2564942017
163	0.255487854
164	0.2549714966
165	0.254140213
166	0.2534758301
167	0.2524700317
168	0.2513014069
169	0.2508161926
170	0.2503317413
171	0.2495642853
172	0.2488716125
173	0.2482680511
174	0.2476681824
175	0.2471724854
176	0.246738678
177	0.2462529449
178	0.2456977234
179	0.2450268555
180	0.2442830811
181	0.2439348755
182	0.2431828461
183	0.2422383881
184	0.2416544342
185	0.2408125305
186	0.2404208069
187	0.2399594421
188	0.239456604
189	0.2392504578
190	0.2385541077
191	0.2379803467
192	0.2377502747
193	0.2372747192
194	0.2365924988
195	0.2357542114
196	0.2350531616
197	0.2348262634
198	0.234329895
199	0.2336190186
