iter	Passed	Remaining
0	142	28297
1	147	14558
2	151	9957
3	155	7634
4	160	6259
5	164	5313
6	170	4711
7	174	4198
8	178	3786
9	182	3471
10	187	3218
11	191	2995
12	196	2829
13	200	2662
14	205	2530
15	208	2398
16	212	2289
17	216	2194
18	220	2101
19	225	2032
20	230	1961
21	234	1898
22	237	1831
23	241	1774
24	247	1729
25	250	1675
26	254	1629
27	258	1585
28	262	1548
29	266	1509
30	270	1472
31	275	1444
32	279	1413
33	284	1389
34	288	1359
35	292	1331
36	296	1304
37	299	1278
38	304	1257
39	308	1234
40	314	1218
41	317	1194
42	322	1176
43	325	1155
44	330	1137
45	334	1118
46	337	1098
47	342	1085
48	347	1070
49	351	1054
50	354	1036
51	358	1019
52	363	1008
53	367	992
54	371	978
55	374	963
56	379	952
57	383	939
58	387	925
59	392	915
60	397	905
61	402	894
62	405	881
63	410	871
64	413	859
65	418	848
66	422	839
67	427	829
68	432	820
69	435	809
70	440	800
71	444	790
72	448	780
73	452	769
74	456	760
75	461	753
76	465	743
77	470	735
78	473	725
79	477	716
80	481	707
81	485	698
82	489	690
83	493	681
84	498	674
85	501	665
86	505	656
87	510	649
88	514	641
89	519	634
90	523	626
91	528	619
92	531	611
93	535	604
94	539	596
95	543	588
96	548	582
97	551	574
98	556	567
99	560	560
100	564	553
101	568	545
102	572	538
103	577	533
104	581	525
105	585	518
106	589	512
107	592	504
108	597	499
109	601	491
110	606	486
111	609	479
112	613	472
113	618	466
114	622	459
115	627	454
116	631	447
117	636	442
118	640	436
119	644	429
120	648	423
121	651	416
122	657	411
123	660	404
124	666	399
125	670	393
126	674	387
127	678	381
128	681	375
129	686	369
130	691	364
131	696	358
132	701	353
133	706	348
134	710	342
135	716	337
136	721	331
137	725	325
138	728	319
139	734	314
140	739	309
141	744	304
142	748	298
143	754	293
144	758	287
145	762	282
146	766	276
147	771	271
148	775	265
149	779	259
150	784	254
151	788	249
152	793	243
153	797	238
154	801	232
155	805	227
156	809	221
157	814	216
158	818	211
159	822	205
160	826	200
161	831	195
162	835	189
163	840	184
164	844	179
165	848	173
166	852	168
167	856	163
168	862	158
169	866	152
170	871	147
171	874	142
172	878	137
173	883	131
174	888	126
175	892	121
176	896	116
177	901	111
178	905	106
179	910	101
180	915	96
181	919	90
182	922	85
183	927	80
184	932	75
185	936	70
186	940	65
187	944	60
188	949	55
189	953	50
190	957	45
191	960	40
192	964	34
193	969	29
194	973	24
195	978	19
196	982	14
197	987	9
198	991	4
199	995	0
