id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,direccion_ip_origen,geolocalizacion,IS_FRAUD
c75fdb8d-ae9,empresa,69,ES,Norte,1425,202.13,279.87,1.94,0,2bbb3a13-b1f,activa,1386.35,1094.8,4677.06,139.14,9,2,25e65560-537,activa,2022-03-22,1520,2000,0,sdv-id-iDIVhi,2026-02-10 23:01:00,0,1,9432,2,10.72,huella,2,6cbbe708-c7cd-49,86.56.246.1,"41.9028,12.4964",0
96a22fd3-af6,persona,67,FR,Île-de-France,688,703.97,1369.85,0.86,1,4c3f1ca7-ec8,activa,9346.05,10211.45,5734.41,3807.9,4,1,380486ac-e7b,activa,2023-09-22,1009,2000,0,sdv-id-ONPYPe,2026-01-09 23:37:57,0,0,60066,6,683.52,firma,2,e2513418-95bd-43,86.226.103.24,"39.4699,-0.3763",0
d4758d9e-c79,persona,64,FR,Centro,3047,1743.31,877.75,2.81,0,c6d80229-101,activa,86.56,151.86,451.13,5167.22,1,1,cc7c3c6b-8ae,activa,2025-05-01,382,500,0,sdv-id-LyEVBY,2025-12-20 11:54:59,0,0,0,1,1624.11,3DS,2,b2ae6a2b-793d-4a,87.119.3.150,"39.4699,-0.3763",0
3d5b3e41-445,persona,38,ES,Lazio,2522,1180.41,821.27,6.5,0,ac84bf70-312,suspendida,5.84,6.86,76257.72,5061.89,1,1,5e44ac4e-0fa,activa,2024-12-08,532,2000,0,sdv-id-yNeeCw,2026-01-07 13:04:24,1,0,1018100,0,15.46,PIN,2,1164bdac-91eb-40,86.89.107.103,"48.8566,2.3522",0
704859f0-791,empresa,57,PT,Este,1645,170.44,1558.56,1.84,0,50b75379-129,cerrada,8667.83,9064.09,6844.43,1658.28,6,2,2290ef23-848,activa,2021-08-27,1740,5000,1,sdv-id-FWFrOE,2026-05-01 00:09:43,0,0,147614,0,270.72,3DS,2,0df58e96-c401-45,87.181.51.84,"40.4168,-3.7038",0
78262bb7-8f5,persona,41,IT,Norte,3424,291.45,2245.32,0.97,1,8ec0b6aa-821,cerrada,4969.09,4817.33,635.73,24822.5,2,3,e2a0ff7f-d1d,activa,2022-05-20,1479,2000,0,sdv-id-kyCTIC,2026-05-04 04:35:20,0,0,56541,0,467.03,3DS,2,4ec6155f-fb72-48,86.245.76.60,"43.2965,5.3698",0
f735032b-369,persona,32,PT,Norte,3042,992.72,1526.04,0.71,0,d870bcb1-ca7,activa,239.18,527.4,7165.59,11126.12,3,2,1c1ac7c1-cc4,activa,2024-08-20,644,500,0,sdv-id-USKaug,2026-01-21 02:33:09,1,0,233908,5,182.9,PIN,1,a19a5f62-cf24-4a,86.127.217.221,"39.4699,-0.3763",0
0df23e2e-4d3,persona,61,ES,Norte,3013,217.98,150.53,0.91,0,8e023a60-667,activa,1756.7,1580.19,11554.0,3842.93,3,2,a57fef96-98c,activa,2023-11-04,957,3000,1,sdv-id-MQfiTa,2026-04-15 07:27:04,0,1,6110102,2,56.9,PIN,2,9795a13d-710a-42,86.38.139.132,"48.8566,2.3522",0
d14b9d68-103,premium,32,ES,Norte,1560,516.93,366.57,4.52,0,4ea796d3-97f,activa,3545.03,3899.54,5326.88,3217.39,4,3,1301fec3-3dc,activa,2021-11-16,1653,2000,0,sdv-id-nVMUMV,2026-03-14 02:47:30,0,0,30873,0,267.19,PIN,2,b343ae56-f61b-49,86.201.246.239,"40.8518,14.2681",0
c3167230-e17,persona,40,ES,Hamburgo,2801,166.85,1382.84,1.65,2,7d784409-4b2,activa,24734.19,25667.37,8011.87,1666.02,1,2,b3a09b56-0c1,bloqueada,2022-08-28,1401,2000,1,sdv-id-JFeSNM,2026-03-31 01:38:08,0,0,4053275,2,603.7,PIN,3,bf70f20a-2a45-4b,86.19.33.4,"40.4168,-3.7038",0
